champ1,champ2,win,count
86,555,0.384615385,39
9,555,0.461538462,39
48,203,0.58974359,39
36,84,0.384615385,39
54,77,0.461538462,39
31,32,0.538461538,39
32,164,0.615384615,39
102,555,0.41025641,39
62,78,0.666666667,39
31,145,0.564102564,39
56,121,0.41025641,39
32,57,0.641025641,39
36,157,0.717948718,39
5,266,0.487179487,39
32,113,0.435897436,39
79,266,0.41025641,39
11,68,0.58974359,39
104,412,0.58974359,39
131,157,0.512820513,39
121,131,0.512820513,39
32,63,0.564102564,39
145,157,0.538461538,39
32,33,0.578947368,38
77,555,0.473684211,38
62,86,0.552631579,38
23,79,0.526315789,38
24,154,0.605263158,38
20,91,0.473684211,38
86,254,0.552631579,38
36,145,0.657894737,38
59,145,0.421052632,38
11,58,0.473684211,38
19,131,0.578947368,38
63,86,0.657894737,38
11,12,0.605263158,38
81,104,0.552631579,38
254,555,0.394736842,38
11,82,0.473684211,38
36,59,0.605263158,38
28,35,0.368421053,38
11,45,0.526315789,38
107,163,0.710526316,38
11,67,0.5,38
54,57,0.552631579,38
31,86,0.394736842,38
53,104,0.552631579,38
5,31,0.578947368,38
19,157,0.289473684,38
5,54,0.578947368,38
35,36,0.447368421,38
5,120,0.447368421,38
76,254,0.459459459,37
5,36,0.567567568,37
75,107,0.432432432,37
11,21,0.378378378,37
64,236,0.486486486,37
20,111,0.486486486,37
77,254,0.405405405,37
5,33,0.513513514,37
29,157,0.405405405,37
11,427,0.540540541,37
60,104,0.459459459,37
107,113,0.405405405,37
6,11,0.486486486,37
75,104,0.378378378,37
14,157,0.648648649,37
86,157,0.594594595,37
9,54,0.432432432,37
64,68,0.594594595,37
5,9,0.540540541,37
59,86,0.540540541,37
77,157,0.459459459,37
102,121,0.351351351,37
2,64,0.297297297,37
17,203,0.405405405,37
9,92,0.486486486,37
54,120,0.351351351,37
35,254,0.378378378,37
54,254,0.432432432,37
17,36,0.444444444,36
99,107,0.388888889,36
5,80,0.361111111,36
121,145,0.416666667,36
12,104,0.527777778,36
76,555,0.388888889,36
11,202,0.444444444,36
154,203,0.555555556,36
59,120,0.666666667,36
77,84,0.444444444,36
21,32,0.416666667,36
19,106,0.527777778,36
54,92,0.527777778,36
98,104,0.583333333,36
76,203,0.555555556,36
64,81,0.5,36
28,84,0.361111111,36
48,107,0.527777778,36
64,72,0.444444444,36
56,62,0.416666667,36
245,555,0.472222222,36
78,121,0.527777778,36
11,89,0.555555556,36
31,54,0.472222222,36
17,79,0.444444444,36
19,245,0.444444444,36
5,106,0.583333333,36
32,92,0.666666667,36
57,157,0.527777778,36
30,107,0.571428571,35
28,31,0.4,35
157,245,0.457142857,35
62,63,0.571428571,35
84,254,0.371428571,35
120,555,0.314285714,35
80,555,0.542857143,35
11,516,0.4,35
33,62,0.485714286,35
29,79,0.628571429,35
79,86,0.542857143,35
19,266,0.542857143,35
266,555,0.4,35
19,84,0.428571429,35
122,141,0.6,35
28,59,0.457142857,35
20,98,0.371428571,35
11,60,0.314285714,35
20,240,0.542857143,35
56,157,0.457142857,35
107,412,0.485714286,35
17,84,0.314285714,35
24,99,0.571428571,35
111,141,0.485714286,35
19,145,0.485714286,35
77,79,0.571428571,35
59,245,0.4,35
5,78,0.542857143,35
141,163,0.514285714,35
17,555,0.457142857,35
17,154,0.542857143,35
9,23,0.342857143,35
9,35,0.371428571,35
78,120,0.542857143,35
31,102,0.6,35
9,77,0.628571429,35
28,78,0.4,35
131,555,0.314285714,35
19,29,0.342857143,35
29,120,0.542857143,35
121,245,0.571428571,35
64,202,0.542857143,35
36,79,0.617647059,34
104,236,0.5,34
17,59,0.588235294,34
54,145,0.558823529,34
33,203,0.529411765,34
11,420,0.382352941,34
11,133,0.323529412,34
145,203,0.588235294,34
9,157,0.558823529,34
28,36,0.617647059,34
84,92,0.470588235,34
63,121,0.647058824,34
28,266,0.352941176,34
29,35,0.441176471,34
64,99,0.676470588,34
23,31,0.529411765,34
82,104,0.5,34
77,106,0.735294118,34
80,157,0.529411765,34
64,238,0.558823529,34
28,77,0.411764706,34
79,92,0.294117647,34
63,79,0.441176471,34
5,131,0.470588235,34
157,555,0.441176471,34
12,20,0.454545455,33
68,104,0.636363636,33
111,555,0.393939394,33
79,84,0.484848485,33
64,427,0.363636364,33
57,145,0.515151515,33
84,266,0.454545455,33
5,48,0.636363636,33
35,76,0.575757576,33
27,64,0.393939394,33
106,121,0.424242424,33
17,102,0.454545455,33
11,55,0.303030303,33
11,26,0.424242424,33
20,516,0.393939394,33
17,54,0.606060606,33
91,107,0.515151515,33
31,56,0.454545455,33
54,245,0.545454545,33
29,121,0.515151515,33
2,24,0.484848485,33
11,27,0.545454545,33
9,31,0.363636364,33
163,203,0.393939394,33
5,145,0.424242424,33
84,120,0.424242424,33
17,266,0.515151515,33
92,203,0.636363636,33
5,157,0.363636364,33
19,102,0.363636364,33
33,121,0.454545455,33
62,106,0.545454545,33
20,427,0.575757576,33
79,120,0.484848485,33
58,64,0.242424242,33
14,203,0.515151515,33
25,107,0.696969697,33
62,92,0.575757576,33
19,80,0.53125,32
57,59,0.5625,32
24,163,0.625,32
77,120,0.375,32
54,79,0.5625,32
36,254,0.5,32
59,266,0.65625,32
24,91,0.34375,32
59,92,0.53125,32
77,102,0.40625,32
19,57,0.53125,32
63,555,0.59375,32
19,63,0.65625,32
203,245,0.53125,32
18,20,0.5625,32
86,266,0.625,32
59,77,0.5625,32
11,412,0.625,32
48,121,0.34375,32
36,57,0.59375,32
32,81,0.625,32
29,254,0.4375,32
64,98,0.5625,32
36,54,0.5,32
39,555,0.46875,32
39,107,0.59375,32
2,32,0.53125,32
9,145,0.419354839,31
86,131,0.483870968,31
79,122,0.64516129,31
56,254,0.387096774,31
75,141,0.548387097,31
56,555,0.35483871,31
9,28,0.451612903,31
58,104,0.516129032,31
14,32,0.516129032,31
29,57,0.451612903,31
17,120,0.419354839,31
24,111,0.516129032,31
2,141,0.580645161,31
23,77,0.387096774,31
35,79,0.451612903,31
20,60,0.387096774,31
28,157,0.580645161,31
35,77,0.322580645,31
56,79,0.290322581,31
157,238,0.516129032,31
92,121,0.451612903,31
72,107,0.483870968,31
35,120,0.290322581,31
245,254,0.548387097,31
91,141,0.35483871,31
31,35,0.387096774,31
14,254,0.580645161,31
59,78,0.516129032,31
17,78,0.451612903,31
64,82,0.516129032,31
102,254,0.387096774,31
64,75,0.419354839,31
74,104,0.548387097,31
31,84,0.290322581,31
86,106,0.580645161,31
37,104,0.516129032,31
104,427,0.548387097,31
20,143,0.516129032,31
19,33,0.433333333,30
19,21,0.533333333,30
20,117,0.3,30
14,121,0.466666667,30
14,54,0.6,30
131,254,0.566666667,30
53,64,0.433333333,30
59,63,0.6,30
35,57,0.6,30
104,516,0.6,30
29,31,0.4,30
36,77,0.6,30
86,120,0.3,30
19,92,0.6,30
9,80,0.5,30
104,432,0.566666667,30
104,497,0.466666667,30
105,107,0.266666667,30
35,78,0.533333333,30
113,121,0.633333333,30
31,79,0.733333333,30
29,555,0.566666667,30
31,57,0.633333333,30
32,222,0.7,30
23,62,0.433333333,30
54,266,0.5,30
111,145,0.566666667,30
17,28,0.5,30
23,56,0.5,30
20,68,0.566666667,30
25,64,0.533333333,30
3,24,0.566666667,30
32,72,0.6,30
17,48,0.633333333,30
28,54,0.533333333,30
163,254,0.5,30
102,120,0.533333333,30
54,78,0.666666667,30
54,84,0.4,30
92,555,0.5,30
107,111,0.5,30
5,63,0.379310345,29
86,245,0.586206897,29
35,56,0.379310345,29
62,163,0.655172414,29
23,121,0.482758621,29
32,67,0.620689655,29
5,29,0.379310345,29
14,19,0.75862069,29
12,107,0.413793103,29
10,104,0.620689655,29
11,223,0.620689655,29
64,91,0.448275862,29
20,25,0.448275862,29
5,86,0.517241379,29
59,76,0.344827586,29
12,141,0.482758621,29
17,57,0.448275862,29
121,122,0.310344828,29
35,157,0.448275862,29
24,412,0.413793103,29
12,64,0.586206897,29
31,106,0.344827586,29
28,76,0.551724138,29
6,64,0.586206897,29
17,122,0.413793103,29
54,86,0.689655172,29
11,74,0.482758621,29
31,254,0.448275862,29
67,555,0.620689655,29
29,59,0.551724138,29
81,141,0.482758621,29
80,203,0.275862069,29
67,107,0.586206897,29
24,238,0.448275862,29
11,81,0.551724138,29
31,266,0.413793103,29
5,154,0.517241379,29
67,104,0.586206897,29
63,254,0.620689655,29
29,54,0.448275862,29
35,59,0.678571429,28
80,266,0.607142857,28
11,236,0.535714286,28
5,56,0.392857143,28
21,24,0.5,28
20,41,0.392857143,28
10,64,0.464285714,28
3,62,0.714285714,28
32,99,0.535714286,28
31,120,0.535714286,28
20,432,0.357142857,28
28,48,0.535714286,28
14,86,0.428571429,28
76,77,0.642857143,28
14,36,0.571428571,28
104,202,0.571428571,28
30,32,0.5,28
30,78,0.5,28
106,254,0.535714286,28
86,145,0.571428571,28
77,145,0.321428571,28
48,79,0.5,28
120,254,0.535714286,28
77,78,0.535714286,28
107,238,0.464285714,28
23,29,0.571428571,28
17,80,0.5,28
31,63,0.392857143,28
57,78,0.571428571,28
77,86,0.428571429,28
48,62,0.642857143,28
31,33,0.321428571,28
79,80,0.5,28
72,141,0.464285714,28
254,266,0.571428571,28
111,121,0.392857143,28
92,266,0.357142857,28
29,62,0.5,28
59,154,0.5,28
14,245,0.642857143,28
41,104,0.535714286,28
31,154,0.535714286,28
39,141,0.321428571,28
31,92,0.535714286,28
64,497,0.5,28
32,106,0.678571429,28
164,555,0.464285714,28
32,111,0.535714286,28
35,84,0.357142857,28
113,203,0.5,28
19,23,0.607142857,28
3,141,0.481481481,27
77,131,0.62962963,27
3,157,0.407407407,27
11,222,0.481481481,27
53,555,0.37037037,27
19,163,0.37037037,27
56,77,0.444444444,27
11,37,0.444444444,27
30,36,0.555555556,27
120,131,0.555555556,27
84,102,0.407407407,27
20,51,0.37037037,27
57,254,0.62962963,27
31,76,0.592592593,27
64,421,0.444444444,27
48,254,0.407407407,27
23,555,0.481481481,27
28,154,0.296296296,27
76,145,0.407407407,27
11,143,0.592592593,27
57,77,0.666666667,27
35,111,0.444444444,27
92,102,0.555555556,27
86,92,0.481481481,27
105,141,0.592592593,27
17,29,0.481481481,27
157,163,0.62962963,27
81,107,0.407407407,27
78,254,0.444444444,27
23,157,0.37037037,27
86,99,0.555555556,27
21,104,0.62962963,27
9,154,0.444444444,27
44,104,0.518518519,27
145,254,0.62962963,27
9,29,0.444444444,27
28,92,0.407407407,27
23,84,0.37037037,27
45,104,0.444444444,27
62,245,0.444444444,27
63,203,0.62962963,27
157,516,0.481481481,27
39,54,0.346153846,26
57,76,0.576923077,26
98,107,0.576923077,26
120,240,0.576923077,26
98,141,0.423076923,26
56,92,0.5,26
24,420,0.692307692,26
59,84,0.307692308,26
77,80,0.307692308,26
62,145,0.5,26
64,142,0.461538462,26
82,141,0.653846154,26
24,39,0.576923077,26
11,103,0.384615385,26
17,77,0.461538462,26
24,37,0.730769231,26
9,56,0.5,26
54,102,0.538461538,26
20,420,0.5,26
62,102,0.576923077,26
56,145,0.423076923,26
24,82,0.769230769,26
23,86,0.576923077,26
26,120,0.346153846,26
14,62,0.576923077,26
20,96,0.615384615,26
14,79,0.5,26
2,203,0.461538462,26
141,412,0.769230769,26
104,143,0.730769231,26
6,104,0.384615385,26
23,78,0.538461538,26
113,157,0.538461538,26
59,102,0.615384615,26
80,84,0.538461538,26
19,154,0.5,26
78,131,0.615384615,26
17,63,0.5,26
39,121,0.5,26
39,120,0.307692308,26
5,57,0.461538462,26
23,28,0.5,26
36,122,0.461538462,26
36,78,0.576923077,26
80,120,0.5,26
23,266,0.346153846,26
11,142,0.461538462,26
121,164,0.615384615,26
154,555,0.269230769,26
30,62,0.615384615,26
32,163,0.269230769,26
62,164,0.576923077,26
20,142,0.384615385,26
11,497,0.5,26
35,54,0.269230769,26
82,107,0.538461538,26
9,17,0.4,25
145,266,0.48,25
76,102,0.44,25
45,64,0.56,25
20,22,0.4,25
54,56,0.44,25
145,154,0.28,25
62,72,0.48,25
63,145,0.68,25
3,54,0.44,25
3,107,0.44,25
76,78,0.56,25
9,14,0.56,25
121,154,0.48,25
11,115,0.6,25
107,202,0.56,25
23,59,0.64,25
122,145,0.56,25
17,23,0.36,25
23,54,0.64,25
80,86,0.56,25
25,32,0.56,25
28,63,0.52,25
111,157,0.68,25
24,427,0.44,25
32,420,0.52,25
39,84,0.36,25
24,117,0.56,25
54,131,0.76,25
24,202,0.56,25
3,32,0.56,25
72,104,0.6,25
104,223,0.44,25
27,106,0.6,25
56,154,0.52,25
79,131,0.24,25
11,201,0.56,25
32,39,0.68,25
92,245,0.52,25
64,74,0.28,25
10,141,0.6,25
21,107,0.2,25
36,63,0.6,25
45,141,0.56,25
24,25,0.4,25
9,164,0.28,25
28,102,0.44,25
28,113,0.4,25
14,84,0.64,25
2,62,0.48,25
78,92,0.64,25
57,79,0.4,25
64,90,0.48,25
57,86,0.6,25
24,53,0.68,25
24,58,0.32,25
35,266,0.56,25
33,145,0.48,25
36,266,0.44,25
5,245,0.48,25
63,78,0.541666667,24
99,141,0.458333333,24
78,245,0.625,24
48,78,0.5,24
78,266,0.5,24
154,266,0.458333333,24
18,64,0.458333333,24
60,141,0.583333333,24
11,96,0.666666667,24
36,245,0.708333333,24
23,57,0.5,24
32,412,0.583333333,24
20,150,0.375,24
20,74,0.208333333,24
9,122,0.583333333,24
80,254,0.416666667,24
76,86,0.541666667,24
20,45,0.375,24
56,78,0.5,24
78,154,0.583333333,24
62,113,0.416666667,24
56,84,0.5,24
56,86,0.416666667,24
131,266,0.375,24
106,555,0.5,24
56,59,0.541666667,24
111,203,0.541666667,24
64,133,0.708333333,24
14,92,0.458333333,24
32,68,0.583333333,24
